"Classe","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"1. Natural","407573760.18747747","407218703.7184826","405879079.08924115","404449956.66743106","403382382.40114266","402637838.4453388","401664598.77502817","399913112.83446527","398273858.06594414","396508362.02357197","394172999.758604","392065606.2825491","390076577.27508265","387957966.9376576","385923266.57054234","384399918.01173115","382565177.6789579","380506754.7886386","377680611.3551863","375076102.53369564","373123132.11873764","371596582.3064008","370435892.29220665","369277761.844984","368576503.51504505","368229090.3475168","367854865.0561708","367557514.6650217","366987541.1175382","366355562.5908155","365445133.62452066","364385357.620407","363628712.0246513","362916399.525273","361858128.95220685","360806206.586381","358981021.9327429","355565995.8231626"
"1.1. Formação Florestal","358219062.3455026","357804266.3540812","356430417.1475203","354940921.9474569","353582008.17221576","352975208.7557645","351990305.6708771","350259933.97166634","348676101.9914166","346978793.7082732","344712793.56021976","342662380.0390607","340755467.99040127","338729549.93926746","336727133.9393826","335412593.4270833","333639983.63652456","331600308.0440995","328806558.9994231","326218054.0927138","324320400.63278246","322812178.9568068","321657182.0837013","320547695.4874409","319849890.0442831","319497274.79380906","319118882.54689157","318825722.2066614","318321961.6151971","317715076.61404324","316874390.52093464","315895197.3385502","315172516.518218","314443068.7858419","313297822.4452597","312245540.92176306","310408062.46952224","308251768.8378438"
"1.2. Formação Savânica","1468462.857961096","1387819.3281973666","1392305.5113593098","1360951.039374319","1330390.316567106","1306827.3824820025","1287619.7357418903","1262409.2246553474","1247196.2870817212","1235188.2510017904","1225805.1035636247","1215772.6311101618","1211657.2110666868","1188021.103269642","1196316.4053329008","1276695.882540203","1296441.7806040682","1282527.088519614","1275031.9774556875","1246590.544705502","1224073.0302098426","1239387.3178950697","1224897.402085056","1255087.1645011776","1263511.8330154326","1234330.373232296","1261366.4903715572","1358106.93148442","1527601.963991615","1548204.8185705796","1582117.49631526","1586420.784447594","1579913.4448541834","1553309.7184183286","1523337.550127294","1522907.1278473188","1518590.8711116074","1519799.3537487502"
"1.3. Mangue","759433.6672679144","758857.8517395548","757064.1269947664","760113.0619303699","764121.2686414097","768988.36852137","771816.3612983288","771919.7791330856","770376.5583301963","770954.9395225624","772576.3488854958","772372.8356833971","771581.6394070166","764350.0262581909","759130.0753526553","763705.3001304154","763448.1776116599","763988.9592729058","763852.3808380303","762720.453878058","760841.6452402129","758868.7276591224","756046.2928514039","755787.4046282393","757190.0422862334","757146.6425963851","759381.6785932828","757548.3891788806","755669.3103692875","757697.098378971","753442.4850011207","752561.2043892308","751398.3723793821","751124.5102873037","753125.7603875492","748923.1710742943","753557.2216170635","753040.645075273"
"1.4. Floresta Alagável","19289824.118040085","19232809.968719665","19204290.463456746","19216754.116680775","19138205.56609654","19229236.55941338","19178472.819906328","19127389.586706486","19098187.399366967","19154382.179264423","19151913.381056745","19068094.647823572","19078407.3875454","19060636.607438758","18980087.861292616","19152694.99505965","19175971.14848566","19176792.18432522","19188115.434491634","19156686.45032286","19179509.660193585","19188245.128129307","19187394.56840757","19176025.252991766","19145528.722095057","19169371.65094229","19177121.740915366","19136190.67027327","19183473.272459842","19172457.12374709","19144853.027131297","19089164.240628","19070304.377840955","19080098.939223263","19048378.616446923","19029325.48080129","18957800.99224279","18858878.209403127"
"1.5. Restinga Arbórea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.6. Campo Alagado e Área Pantanosa","7549376.591293514","7861944.11170159","7694507.459104222","7963959.783417944","8074312.984175882","7797651.493446886","7535998.590743625","7718210.902154187","7689465.718170935","7870290.1677515805","7743978.474770808","7523635.391235057","7636465.040816907","8038609.575540935","7455901.043329215","7955647.14176361","7905112.976097429","7647198.200591023","7903712.9904089235","7924211.245421853","7842794.993983678","7889606.615981477","7843652.033974195","7807476.338587988","7657119.956050154","8141993.599649283","8104150.666994876","7766694.119272968","7077143.585945586","6833461.365935793","6609851.064484592","6816412.704235473","6601410.4760330375","6841447.194654237","7052232.54556339","7190611.948217939","7203533.257737453","6056612.55148853"
"1.7. Formação Campestre","9244941.102571223","8513376.547963625","8457436.030800631","8269220.403155638","8237776.359093185","8230917.400842198","8187339.904057074","8334818.40599684","8093133.194860446","8058967.480680605","8238430.456035475","8036592.343235668","8268810.881645204","8206243.3838234125","7791605.79092634","8162045.210109555","8382391.3630355615","8459945.298221279","8399339.418584628","8426417.713913478","8355304.019417617","8226034.52899149","8094672.982445282","8074021.101982188","8183421.884465476","8040303.638635861","7916761.127933638","8122382.329560675","8674888.450508066","8937858.35068633","9240309.628579374","9372699.81533719","9254920.364388432","9166047.631783307","8949282.404230371","8961679.065053914","8799996.852191327","7798679.771565002"
"1.8. Apicum","26495.942730938987","26556.56949570949","26534.32252604395","26317.793749701188","25556.74515524937","25443.635205603357","26205.64822439603","26321.13583815335","26770.381062475808","26874.15392882716","26921.72010091571","27132.32637790546","27321.204914190883","27588.413187622285","28357.626064435026","29803.60828184846","29986.874587280618","30127.918888635606","30192.31449638704","30096.954709961254","30132.834773529332","30192.02032507964","29898.742182507573","29357.30775891141","28924.308986761796","28500.420601660473","28113.558458880907","27857.21340828883","27741.279914697498","27528.63608446064","27130.13422393815","26884.27515990619","26540.160415997496","26088.44892019672","25578.728934967185","25220.38577225362","25237.25599083272","24486.314025280906"
"1.9. Afloramento Rochoso","462487.7522383196","462350.9142182638","462246.0709975111","462164.7743087353","462112.899188075","462073.4534194664","461969.55586225813","461900.71961583407","461846.4230269309","461737.165135744","461700.01636170846","461603.7705971571","461530.5076879413","461479.40754973324","461452.5758744408","461374.66753407737","461353.15214881673","461364.3604893261","461368.71742228523","461390.53839428833","461318.9885024853","461255.3747496409","461214.5149011969","461207.7645916391","461204.1232237745","461207.37631760986","461163.12282575737","461164.0605483165","460751.56107609946","460712.123189253","460609.51577339554","460589.5546718153","460590.638014253","460566.9004982496","460555.4142019116","460525.9152042251","460412.3724037001","462241.22055960854"
"1.10. Restinga Herbácea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.11. Outras Formações não Florestais","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.12. Praia, Duna e Areal","4924.42738131103","4865.254107763685","4829.519967767346","5001.612496344004","6691.877238769523","7117.572950592032","7393.83141701049","7415.716974694821","8073.383492413323","8183.50992400511","8307.55221918945","8163.594145507798","8323.798150811755","8367.082929083255","8317.938291339115","8352.573685070807","8393.301821728519","8200.155542712397","8117.354132995584","7912.89340999144","7985.816247021489","7816.0232429321295","7747.689512792968","7522.999126312248","7210.177426757802","7361.385978955073","7332.690079394529","7216.583646820051","6621.14985236816","6244.728536981201","5975.615058642573","6000.932486248773","5595.718101660153","5496.3438847167945","4974.095914715581","4602.98198926392","4642.303408404537","4579.57411627808"
"1.13. Rio, Lago e Oceano","10548751.38249034","11165856.818257838","11449448.436513692","11444552.134860389","11761206.212770637","11834373.82329279","12217476.656900099","11942793.391724374","12202706.7291355","11942990.46808934","11830573.145390254","12289858.703279862","11857011.613447193","11473121.398392806","12514963.31469575","11177005.205543417","10902095.268041113","11076302.578688301","10844321.767932612","10842021.646225912","10940770.497387184","10982997.612619935","11173185.982145332","11163581.023374837","11222502.423212277","10891600.465753373","11020591.433106553","11094632.160986722","10951688.928223444","10896321.731642863","10746454.137018336","10379426.770501293","10705521.954405412","10589151.051761545","10742841.39114008","10616869.58865751","10849188.336517511","11835909.34533697"
"2. Antrópico","13966717.33491323","14321769.254613383","15661413.143426226","17090598.16564704","18158243.195165344","18902786.823962286","19876060.622790597","21627533.81740767","23266809.63832778","25032299.297128707","27367672.647659693","29475094.73534922","31464206.226747345","33582859.21736497","35618475.09902332","37141674.111520514","38976504.395007305","41034976.05349228","43861019.315058745","46465702.542462274","48417479.346375756","49945120.571556956","51105976.18002901","52263856.72905241","52964242.01146378","53312034.21837622","53686082.37096512","53983515.59809228","54553129.36056674","55185056.26511061","56095490.4257669","57155257.702740684","57911950.270016074","58624247.71010162","59682524.45979741","60734477.89925088","62559267.14770365","65977242.504480466"
