"Classe","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"1. Natural","128518889.2802949","128484201.29676522","127210195.81288007","125828757.74314143","124434179.77249476","123145279.99431698","121921644.66324702","120578482.89243636","119355320.16836931","118124454.39076728","116920874.74248724","115868159.99639603","114889039.08966708","113920861.05239196","112928824.63518618","111843453.90546799","110867772.49922939","109909340.35402404","108756325.9461599","107464419.23512475","106526352.7427553","105865746.79271317","105383996.18907987","104836454.45541525","104407256.82182062","103948356.14971791","103488985.84415475","102605893.38569948","101562775.12530221","100812451.1486457","100242570.33396618","99782711.02277534","99395984.87193705","99089796.47403103","98466003.19682981","97773227.4636585","97013608.44999525","96578290.24552168"
"1.1. Formação Florestal","29873326.56305533","29703755.431018747","29307982.036763493","28786646.264246","28418318.505715333","28254172.051168427","28058004.596338794","27835528.537145164","27757958.72119686","27578356.368440267","27320254.666071232","27191271.836530417","26992498.760620672","26859636.628203426","26769128.482281033","26629877.73692459","26541060.642412525","26442778.260216776","26261151.298745304","26112265.346080344","25905137.214649647","25737023.77687866","25646250.079640012","25437590.00093117","25279815.721813086","25227552.073980995","25044234.192272842","24941064.50270776","24845339.314688683","24820732.363200206","24824399.639604863","24820848.744756952","24805142.372815635","24817520.653986387","24812600.493960835","24788629.45401234","24826762.579687864","24960651.250299074"
"1.2. Formação Savânica","79772962.00663623","80679788.96161221","80213862.93624525","79513043.91381899","78667184.04521301","77664490.39351651","76720280.24355662","75645233.57765251","74563422.7713815","73577189.64864296","72685622.91913114","71822978.01531045","71020374.56350137","70276529.84756164","69431199.02419029","68589051.00675634","67773324.42825365","66895419.817935325","66003880.262083806","64937378.637077644","64245397.741133474","63766643.44965397","63401514.040507086","63105089.26921622","62870552.48112958","62513042.11779657","62232477.078726634","61548731.18751915","60731330.46840245","60066260.80477531","59536650.20805208","59127954.03338241","58800376.95494931","58495290.973189786","57957741.42375947","57308638.453738436","56558461.79852604","55531431.42892019"
"1.3. Mangue","62978.075754882775","62963.121028625304","62806.65245866071","63002.92415959427","62948.53903391106","63266.89001903003","63394.497105986724","62869.37613370962","62693.960809935685","63424.03224978453","63903.06441924321","64621.057686717584","64846.337765971955","65460.74831656525","65770.09787481073","66349.44427118506","66351.844486272","66309.41300517622","66516.5062385614","66789.77833159144","66859.06066883556","67059.23861872577","67306.13730334987","67333.9746044611","67308.14528934998","67152.76896898245","67278.26755474243","67506.9672813412","67864.25635888646","67974.99713687034","67947.69486109524","67931.5293895256","67848.81691832757","67794.8713186507","67927.31060731705","68080.1193074211","68393.9252461665","68232.47930070102"
"1.4. Floresta Alagável","5.706168811035156","4.727393908691406","4.905951489257813","4.103198236083984","4.638208129882813","5.083878198242187","5.618799401855471","4.637418768310547","3.567352111816407","3.9243111572265628","4.459569000244141","4.370403643798829","4.102808032226563","3.8350881103515624","2.854050354003906","2.675658862304688","3.030624066162109","3.030618658447265","3.2087704223632807","2.675826202392578","3.7438852844238286","4.457664208984375","3.6550497802734374","2.9435299621582036","2.3190985473632812","3.032585284423828","4.103306878662108","3.478743695068359","3.924464093017579","3.656323199462891","3.2102574768066403","3.299488897705079","3.3893685424804683","2.94318095703125","4.370101531982423","4.280890576171874","3.2997791015624998","0.2675630065917969"
"1.5. Restinga Arbórea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.6. Campo Alagado e Área Pantanosa","6634340.2575189425","6103184.251806611","5940793.717767772","5900809.160780685","5886687.308004538","5877136.134203824","5878673.937604466","5877598.840583177","5875305.785318613","5870981.883338471","5879873.856430267","5860449.019194177","5834112.182000847","5810285.270833041","5807290.369063941","5866127.039779568","5901315.876025118","5908939.216685178","5870228.190990665","5878572.278844011","5895587.522887496","5911100.943873047","5912190.102485635","5919699.865031444","5919618.561423931","5924422.83701279","5947268.123663304","5947412.577892127","5933935.66410347","5939764.528986128","5930670.725392163","5911100.586298227","5911251.728698026","5914931.090009503","5896395.978436057","5897054.528022972","5886012.317594716","6067877.357526657"
"1.7. Formação Campestre","10195808.551236788","9892716.76414449","9657981.656058092","9533900.240762737","9360001.97980194","9232150.561396275","9098118.020877855","9044779.351635976","8996780.070312297","8930178.036834506","8888651.693127627","8858762.853454066","8820689.718246715","8752679.93191636","8716625.298149323","8699969.558566486","8630102.743353648","8551795.335223991","8480923.098502796","8371767.8872654475","8302870.952098194","8242904.54146505","8199432.821222998","8146727.076776991","8103224.902654311","8039072.549131174","7998364.490110779","7924014.989243991","7876045.145534328","7862234.499045736","7854491.795865741","7837253.537066511","7815316.630936528","7789801.19473356","7713688.441494378","7666156.875320586","7636620.465455489","7847724.466048036"
"1.8. Apicum","7362.285257019018","7454.379365124474","7443.572799072228","7527.597436822501","7380.874432318123","7275.935294085692","7330.932887139865","7233.694349200399","7377.564129382279","7496.782064495811","7521.162162310732","7548.049399536098","7684.2409649596775","7905.627667272923","8098.2467140075205","8235.763730108627","8312.738317474363","8262.816039300526","8179.58410476682","8108.856189532493","8137.8815061645655","8163.5967307189985","8044.639271319572","7922.380128692617","7828.343131939667","7718.852095513847","7629.092443255597","7470.5691674987565","7403.325401409906","7335.006426336657","7263.831602593976","7199.353791876209","7176.847125476072","7192.649777252179","7228.639177691632","7242.392098809812","7241.230667919905","7059.137345800756"
"1.9. Afloramento Rochoso","569130.34778095","569057.6511638846","569085.6119289724","569091.3007596179","569119.3232511831","569095.8601705611","569072.9689430221","569095.1053672282","569122.685180461","569168.8428914906","569181.2924464155","569182.297124992","569151.1331485097","569025.8777943712","568955.1149170634","568941.2061614549","568930.1288239117","568902.2422806186","568890.095869529","568901.172774625","568954.8995225444","568953.1497144017","568962.4293707194","568960.3160548627","568949.6004144023","568951.5731119426","568949.4930222267","568984.6555623274","569013.398031602","568983.4679759742","568995.4624424592","569016.5498833777","569000.9355894076","568981.8892386021","568982.4870647371","568980.4388590916","568988.2880952914","569080.5867521161"
