# Description: This file contains monthly means and monthly anomalies for surface air temperature from ERA5 averaged over the global domain (0–360°E, 90°S–90°N) from 1940 to 2023.
# Reference period: Anomalies are calculated relative to the average for the 1991-2020 reference period. The monthly climatology is provided in the '2t_clim' column.
# Link to the original gridded data: https://cds.climate.copernicus.eu/cdsapp#!/dataset/reanalysis-era5-single-levels-monthly-means
# Columns:
#   2t: Monthly absolute temperature
#   2t_clim_91-20: Monthly climatology for 1991-2020 
#   2t_ano_91-20: Monthly anomaly relative to 1991-2020
# Units: deg. C
# Last updated: 04 Dec 2023
date,2t,2t_clim_91-20,2t_ano_91-20
1940-01-01,11.50,12.44,-0.95
1940-02-01,11.87,12.73,-0.86
1940-03-01,12.52,13.41,-0.89
1940-04-01,13.76,14.36,-0.60
1940-05-01,14.75,15.26,-0.52
1940-06-01,15.31,15.98,-0.67
1940-07-01,15.78,16.23,-0.45
1940-08-01,15.61,16.11,-0.50
1940-09-01,14.81,15.45,-0.63
1940-10-01,13.63,14.45,-0.81
1940-11-01,12.61,13.37,-0.76
1940-12-01,12.07,12.67,-0.60
1941-01-01,11.76,12.44,-0.68
1941-02-01,12.19,12.73,-0.54
1941-03-01,12.70,13.41,-0.71
1941-04-01,13.55,14.36,-0.81
1941-05-01,14.65,15.26,-0.61
1941-06-01,15.49,15.98,-0.49
1941-07-01,15.69,16.23,-0.54
1941-08-01,15.64,16.11,-0.47
1941-09-01,14.59,15.45,-0.85
1941-10-01,13.94,14.45,-0.51
1941-11-01,12.59,13.37,-0.78
1941-12-01,11.97,12.67,-0.69
1942-01-01,11.88,12.44,-0.56
1942-02-01,11.93,12.73,-0.80
1942-03-01,12.70,13.41,-0.71
1942-04-01,13.56,14.36,-0.80
1942-05-01,14.65,15.26,-0.61
1942-06-01,15.30,15.98,-0.68
1942-07-01,15.50,16.23,-0.73
1942-08-01,15.36,16.11,-0.75
1942-09-01,14.71,15.45,-0.74
1942-10-01,13.72,14.45,-0.72
1942-11-01,12.50,13.37,-0.87
1942-12-01,11.85,12.67,-0.82
1943-01-01,11.62,12.44,-0.82
1943-02-01,12.05,12.73,-0.68
1943-03-01,12.52,13.41,-0.89
1943-04-01,13.59,14.36,-0.77
1943-05-01,14.63,15.26,-0.63
1943-06-01,15.22,15.98,-0.76
1943-07-01,15.49,16.23,-0.74
1943-08-01,15.34,16.11,-0.78
1943-09-01,14.74,15.45,-0.71
1943-10-01,13.80,14.45,-0.65
1943-11-01,12.69,13.37,-0.68
1943-12-01,12.06,12.67,-0.61
1944-01-01,12.05,12.44,-0.39
1944-02-01,12.23,12.73,-0.50
1944-03-01,12.95,13.41,-0.46
1944-04-01,13.73,14.36,-0.63
1944-05-01,14.66,15.26,-0.60
1944-06-01,15.47,15.98,-0.52
1944-07-01,15.70,16.23,-0.53
1944-08-01,15.64,16.11,-0.47
1944-09-01,15.03,15.45,-0.41
1944-10-01,13.99,14.45,-0.46
1944-11-01,12.68,13.37,-0.69
1944-12-01,11.90,12.67,-0.76
1945-01-01,11.70,12.44,-0.74
1945-02-01,11.81,12.73,-0.92
1945-03-01,12.60,13.41,-0.81
1945-04-01,13.70,14.36,-0.66
1945-05-01,14.53,15.26,-0.73
1945-06-01,15.45,15.98,-0.53
1945-07-01,15.58,16.23,-0.65
1945-08-01,15.78,16.11,-0.34
1945-09-01,14.92,15.45,-0.53
1945-10-01,13.89,14.45,-0.56
1945-11-01,12.61,13.37,-0.76
1945-12-01,11.80,12.67,-0.87
1946-01-01,11.82,12.44,-0.62
1946-02-01,12.00,12.73,-0.73
1946-03-01,12.76,13.41,-0.65
1946-04-01,13.74,14.36,-0.62
1946-05-01,14.71,15.26,-0.55
1946-06-01,15.34,15.98,-0.64
1946-07-01,15.65,16.23,-0.58
1946-08-01,15.44,16.11,-0.67
1946-09-01,14.79,15.45,-0.65
1946-10-01,13.67,14.45,-0.78
1946-11-01,12.65,13.37,-0.72
1946-12-01,11.83,12.67,-0.84
